addr,size,ninsn,ncallers,ncallees,nstr,first_str
0x020341c4,14,4,1,0,0,""
0x020341d2,164,55,2,3,0,""
0x02034276,3362,1070,0,36,0,""
0x02034f98,122,39,4,1,0,""
0x02035012,36,15,1,0,0,""
0x02035036,312,99,3,3,0,""
0x0203516e,20,6,1,0,0,""
0x02035182,22,7,1,0,0,""
0x02035198,156,47,2,0,0,""
0x02035234,22,7,1,1,0,""
0x0203524a,40,14,2,0,0,""
0x02035272,268,90,2,5,0,""
0x0203537e,48,12,1,0,0,""
0x020353ae,410,125,2,3,1,"1C016"
0x02035548,208,54,2,0,0,""
0x02035618,316,98,2,8,0,""
0x02035754,20,6,3,1,0,""
0x02035768,20,6,2,1,0,""
0x0203577c,14,6,2,1,0,""
0x0203578a,126,46,3,0,0,""
0x02035808,14,6,9,0,0,""
0x02035816,24,10,2,0,0,""
0x0203582e,6,3,2,0,0,""
0x02035834,186,59,2,3,0,""
0x020358ee,18,7,6,0,0,""
0x02035900,12,5,1,0,0,""
0x0203590c,46,12,1,2,0,""
0x0203593a,100,20,2,1,0,""
0x0203599e,756,228,1,1,0,""
0x02035c92,192,58,1,1,0,""
0x02035d52,36,12,1,1,0,""
0x02035d76,2914,915,1,9,0,""
